date,macd,macdsignal,macdhist,mom,sma20,sma50,sma100,sma200,rsi,stddev,close,symbol,volatility,rsi_value
2014-11-17,1.0,1.0,0.0,0.5700000000000003,47.1,46.15,44.76,41.81,70.49,0.0074191616846091225,49.15,MSFT,11.777554052432858,2
2014-11-18,1.0,1.0,0.0,0.17999999999999972,47.3,46.19,44.83,41.87,65.26,0.008596929856718756,48.74,MSFT,13.647203063726385,3
2014-11-19,1.0,1.0,0.0,-0.25,47.51,46.23,44.9,41.94,59.26,0.009778356101670634,48.22,MSFT,15.522659085630913,3
2014-11-20,1.0,1.0,0.0,-0.5999999999999943,47.71,46.27,44.97,42.01,62.67,0.007204419957485944,48.7,MSFT,11.436662128787003,3
2014-11-21,1.0,1.0,0.0,-1.2900000000000063,47.81,46.3,45.04,42.07,55.21,0.008589783944231575,47.98,MSFT,13.635859279327356,3
2014-11-24,1.0,1.0,0.0,-1.5599999999999952,47.91,46.33,45.1,42.13,51.62,0.008517564876685159,47.59,MSFT,13.521215063740481,4
2014-11-25,1.0,1.0,0.0,-1.2700000000000031,47.98,46.35,45.16,42.19,50.53,0.008569355566949717,47.47,MSFT,13.603430235741518,4
2014-11-26,1.0,1.0,0.0,-0.46999999999999886,48.05,46.38,45.23,42.24,53.02,0.009016957769153152,47.75,MSFT,14.3139767037306,4
2014-11-28,0.0,1.0,0.0,-0.8900000000000006,48.15,46.41,45.29,42.3,53.56,0.007218742928241236,47.81,MSFT,11.459399139979496,4
2014-12-01,0.0,1.0,0.0,0.6400000000000006,48.25,46.44,45.37,42.36,60.2,0.008481366949001774,48.62,MSFT,13.463752634964798,3
2014-12-02,0.0,1.0,0.0,0.8699999999999974,48.31,46.47,45.44,42.42,58.42,0.007398997925057826,48.46,MSFT,11.745545076471558,3
2014-12-03,0.0,1.0,0.0,0.6099999999999994,48.35,46.51,45.5,42.47,54.32,0.00851006913587853,48.08,MSFT,13.509315944100557,4
2014-12-04,0.0,1.0,0.0,1.0900000000000034,48.42,46.55,45.57,42.53,60.32,0.010061362824654814,48.84,MSFT,15.971918330656203,3
2014-12-05,0.0,1.0,0.0,0.6099999999999994,48.42,46.6,45.62,42.59,55.95,0.011395397158332064,48.42,MSFT,18.08963218305526,3
2014-12-08,0.0,1.0,0.0,-0.9199999999999946,48.39,46.63,45.66,42.64,49.34,0.010455586182841405,47.7,MSFT,16.59772851072088,4
2014-12-09,0.0,0.0,0.0,-0.8699999999999974,48.34,46.66,45.69,42.7,48.4,0.010471811317477635,47.59,MSFT,16.623485113462483,4
2014-12-10,0.0,0.0,0.0,-1.1799999999999997,48.25,46.68,45.72,42.75,42.88,0.011320162788715185,46.9,MSFT,17.970201323824675,5
2014-12-11,0.0,0.0,0.0,-1.6700000000000017,48.19,46.71,45.75,42.8,45.5,0.00781603221362943,47.17,MSFT,12.407566485919885,4
2014-12-12,0.0,0.0,0.0,-1.4699999999999989,48.07,46.74,45.77,42.84,43.74,0.007803754872419549,46.95,MSFT,12.388076810958426,5
2014-12-15,0.0,0.0,0.0,-1.0300000000000011,47.94,46.76,45.8,42.89,41.54,0.006511965632422849,46.67,MSFT,10.337424965754186,5
2014-12-16,0.0,0.0,0.0,-2.430000000000007,47.74,46.74,45.81,42.93,32.14,0.012746985676038011,45.16,MSFT,20.235212438699477,5
2014-12-17,0.0,0.0,0.0,-1.1599999999999966,47.59,46.75,45.84,42.97,37.95,0.015384047143854204,45.74,MSFT,24.42141774019904,5
2014-12-18,0.0,0.0,0.0,0.3500000000000014,47.56,46.77,45.88,43.02,51.63,0.023529230042247638,47.52,MSFT,37.35149473957023,4
2014-12-19,0.0,0.0,0.0,0.7099999999999937,47.5,46.82,45.92,43.07,52.52,0.023309879023264302,47.66,MSFT,37.00328579193512,4
